comparison,model_a,model_b,comparison_target,subgroup,metric,pair_count,source_group_count,model_a_mean,model_b_mean,mean_paired_difference,wilcoxon_statistic,wilcoxon_p_value,paired_bootstrap_ci_low,paired_bootstrap_ci_high,hierarchical_bootstrap_ci_low,hierarchical_bootstrap_ci_high,confidence_level,bootstrap_iterations,wilcoxon_p_holm,significant_holm_0.05,wilcoxon_p_display,wilcoxon_p_holm_display
UNI - CNN,UNI,CNN,shared_prediction,all,bottom_target_logit_auc,233,10,2.8253554474322584,2.1355148779332254,0.6898405694990326,5868.0,4.8318973408321294e-14,0.5319753092556369,0.8499572701803748,0.23356341121157054,1.225550604091445,0.95,5000,4.8318973408321294e-14,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,shared_prediction,all,top_minus_random_target_logit_auc,233,10,-0.5575881707817797,-0.38024704832455763,-0.177341122457222,10445.0,0.0019833926676175156,-0.2580966342262856,-0.09816524875459219,-0.3509582767476593,0.016885044293795507,0.95,5000,0.0019833926676175156,True,p = 0.0020,p = 0.0020
UNI - CNN,UNI,CNN,shared_prediction,all,top_margin_auc,233,10,1.2730821926258666,0.6514339069408153,0.6216482856850511,7579.0,4.222754207403553e-09,0.4126309635800754,0.8247625339666358,0.2715505690051835,0.9948888094204618,0.95,5000,4.222754207403553e-09,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,shared_prediction,all,top_minus_random_margin_auc,233,10,-0.829953386816456,-0.16296143783955902,-0.666991948976897,3856.0,2.3153703269499346e-21,-0.8008860023412103,-0.5388636785493406,-0.9872465113052112,-0.36207904700146043,0.95,5000,2.3153703269499346e-21,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,shared_prediction,all,top_5_target_logit_drop,233,10,0.596865076619668,0.5893986666087428,0.007466410010925178,13180.0,0.6618378553478833,-0.100375255904772,0.12055923043322535,-0.19048990777727828,0.23908274005831234,0.95,5000,0.6618378553478833,False,p = 0.6618,p = 0.6618
UNI - CNN,UNI,CNN,shared_prediction,all,top_10_target_logit_drop,233,10,0.8515939466943045,1.113956427785204,-0.2623624810908997,10062.0,0.0005311168913399091,-0.4091697676586938,-0.10804474896755342,-0.553945989264246,0.0678900916227821,0.95,5000,0.0005311168913399091,True,p = 0.0005,p = 0.0005
UNI - CNN,UNI,CNN,shared_prediction,all,top_20_target_logit_drop,233,10,1.2738678064437128,2.0406927002410007,-0.7668248937972881,7159.0,3.321261942993187e-10,-0.9912901341380519,-0.5426268162257779,-1.222526662266691,-0.28480666207580035,0.95,5000,3.321261942993187e-10,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,shared_prediction,all,top_30_target_logit_drop,233,10,1.7100266071771923,2.9423296546739377,-1.2323030474967456,5878.0,5.2049379152446917e-14,-1.5217795734173845,-0.9358030207107411,-1.8681659774552193,-0.5844013645609701,0.95,5000,5.2049379152446917e-14,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,shared_prediction,all,top_5_margin_drop,233,10,0.8493804852338308,0.5203725606714708,0.3290079245623601,10357.0,0.0014822087019060158,0.16076910903461503,0.5095764960310234,0.09624179875514902,0.5453252045830981,0.95,5000,0.0014822087019060158,True,p = 0.0015,p = 0.0015
UNI - CNN,UNI,CNN,shared_prediction,all,top_10_margin_drop,233,10,1.1881557782320507,0.9246920170062601,0.2634637612257904,12326.0,0.20533394092414214,0.03072627101557198,0.5145675761409327,-0.0841125184787731,0.5735573935312115,0.95,5000,0.20533394092414214,False,p = 0.2053,p = 0.2053
UNI - CNN,UNI,CNN,shared_prediction,all,top_20_margin_drop,233,10,1.7545119037955617,1.5928655049959477,0.16164639879961382,13608.0,0.9825719285326079,-0.17382170304080438,0.5032120839065108,-0.37551761874381206,0.5948848109907974,0.95,5000,0.9825719285326079,False,p = 0.9826,p = 0.9826
UNI - CNN,UNI,CNN,shared_prediction,all,top_30_margin_drop,233,10,2.3701274382198316,2.3401840882367844,0.02994334998304752,12900.0,0.47818741959668276,-0.39807578725460513,0.4664532697571703,-0.7000670666272532,0.741204940198683,0.95,5000,0.47818741959668276,False,p = 0.4782,p = 0.4782
UNI - CNN,UNI,CNN,shared_prediction,both_correct,attribution_occlusion_spearman,192,10,0.15202308077785245,0.3993344732804834,-0.2473113925026309,2798.0,5.007527318978594e-17,-0.2947128604348058,-0.19914079576344565,-0.34245644566558436,-0.1519682355023669,0.95,5000,5.007527318978594e-17,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,shared_prediction,both_correct,top_target_logit_auc,192,10,2.183215331818792,1.31268731328067,0.8705280185381222,2971.0,3.2915681499110696e-16,0.7035005453667692,1.0476773228836342,0.53005672839044,1.2972045922757511,0.95,5000,3.2915681499110696e-16,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,shared_prediction,both_correct,random_target_logit_auc,192,10,2.755683135947523,1.709831663842973,1.0458514721045502,2537.0,2.6608711604846413e-18,0.8531309669170879,1.2383064936291095,0.69037563060816,1.4990462380072012,0.95,5000,2.6608711604846413e-18,True,p < 0.0001,p < 0.0001
