model,seed,true_class,predicted_class,count
DINOv2,57,06_MUCOSA,03_COMPLEX,22
DINOv2,57,06_MUCOSA,04_LYMPHO,3
DINOv2,57,06_MUCOSA,05_DEBRIS,0
DINOv2,57,06_MUCOSA,06_MUCOSA,579
DINOv2,57,06_MUCOSA,07_ADIPOSE,1
DINOv2,57,06_MUCOSA,08_EMPTY,0
DINOv2,57,07_ADIPOSE,01_TUMOR,0
DINOv2,57,07_ADIPOSE,02_STROMA,0
DINOv2,57,07_ADIPOSE,03_COMPLEX,0
DINOv2,57,07_ADIPOSE,04_LYMPHO,0
DINOv2,57,07_ADIPOSE,05_DEBRIS,5
DINOv2,57,07_ADIPOSE,06_MUCOSA,6
DINOv2,57,07_ADIPOSE,07_ADIPOSE,609
DINOv2,57,07_ADIPOSE,08_EMPTY,5
DINOv2,57,08_EMPTY,01_TUMOR,0
DINOv2,57,08_EMPTY,02_STROMA,0
DINOv2,57,08_EMPTY,03_COMPLEX,0
DINOv2,57,08_EMPTY,04_LYMPHO,0
DINOv2,57,08_EMPTY,05_DEBRIS,5
DINOv2,57,08_EMPTY,06_MUCOSA,0
DINOv2,57,08_EMPTY,07_ADIPOSE,186
DINOv2,57,08_EMPTY,08_EMPTY,434
DINOv2,73,01_TUMOR,01_TUMOR,555
DINOv2,73,01_TUMOR,02_STROMA,5
DINOv2,73,01_TUMOR,03_COMPLEX,22
DINOv2,73,01_TUMOR,04_LYMPHO,14
DINOv2,73,01_TUMOR,05_DEBRIS,17
DINOv2,73,01_TUMOR,06_MUCOSA,10
DINOv2,73,01_TUMOR,07_ADIPOSE,0
DINOv2,73,01_TUMOR,08_EMPTY,2
DINOv2,73,02_STROMA,01_TUMOR,6
DINOv2,73,02_STROMA,02_STROMA,406
DINOv2,73,02_STROMA,03_COMPLEX,160
DINOv2,73,02_STROMA,04_LYMPHO,1
DINOv2,73,02_STROMA,05_DEBRIS,48
DINOv2,73,02_STROMA,06_MUCOSA,3
DINOv2,73,02_STROMA,07_ADIPOSE,1
DINOv2,73,02_STROMA,08_EMPTY,0
DINOv2,73,03_COMPLEX,01_TUMOR,33
DINOv2,73,03_COMPLEX,02_STROMA,95
DINOv2,73,03_COMPLEX,03_COMPLEX,416
DINOv2,73,03_COMPLEX,04_LYMPHO,56
DINOv2,73,03_COMPLEX,05_DEBRIS,22
DINOv2,73,03_COMPLEX,06_MUCOSA,3
DINOv2,73,03_COMPLEX,07_ADIPOSE,0
DINOv2,73,03_COMPLEX,08_EMPTY,0
DINOv2,73,04_LYMPHO,01_TUMOR,5
DINOv2,73,04_LYMPHO,02_STROMA,8
DINOv2,73,04_LYMPHO,03_COMPLEX,146
DINOv2,73,04_LYMPHO,04_LYMPHO,459
DINOv2,73,04_LYMPHO,05_DEBRIS,6
DINOv2,73,04_LYMPHO,06_MUCOSA,1
DINOv2,73,04_LYMPHO,07_ADIPOSE,0
DINOv2,73,04_LYMPHO,08_EMPTY,0
DINOv2,73,05_DEBRIS,01_TUMOR,78
DINOv2,73,05_DEBRIS,02_STROMA,237
DINOv2,73,05_DEBRIS,03_COMPLEX,12
DINOv2,73,05_DEBRIS,04_LYMPHO,15
DINOv2,73,05_DEBRIS,05_DEBRIS,273
DINOv2,73,05_DEBRIS,06_MUCOSA,1
DINOv2,73,05_DEBRIS,07_ADIPOSE,8
DINOv2,73,05_DEBRIS,08_EMPTY,1
DINOv2,73,06_MUCOSA,01_TUMOR,16
DINOv2,73,06_MUCOSA,02_STROMA,0
DINOv2,73,06_MUCOSA,03_COMPLEX,19
DINOv2,73,06_MUCOSA,04_LYMPHO,2
DINOv2,73,06_MUCOSA,05_DEBRIS,1
DINOv2,73,06_MUCOSA,06_MUCOSA,586
DINOv2,73,06_MUCOSA,07_ADIPOSE,1
DINOv2,73,06_MUCOSA,08_EMPTY,0
DINOv2,73,07_ADIPOSE,01_TUMOR,0
DINOv2,73,07_ADIPOSE,02_STROMA,0
DINOv2,73,07_ADIPOSE,03_COMPLEX,0
DINOv2,73,07_ADIPOSE,04_LYMPHO,0
DINOv2,73,07_ADIPOSE,05_DEBRIS,8
DINOv2,73,07_ADIPOSE,06_MUCOSA,4
DINOv2,73,07_ADIPOSE,07_ADIPOSE,609
DINOv2,73,07_ADIPOSE,08_EMPTY,4
DINOv2,73,08_EMPTY,01_TUMOR,0
DINOv2,73,08_EMPTY,02_STROMA,0
DINOv2,73,08_EMPTY,03_COMPLEX,0
DINOv2,73,08_EMPTY,04_LYMPHO,0
DINOv2,73,08_EMPTY,05_DEBRIS,9
DINOv2,73,08_EMPTY,06_MUCOSA,0
DINOv2,73,08_EMPTY,07_ADIPOSE,107
DINOv2,73,08_EMPTY,08_EMPTY,509
DINOv2,89,01_TUMOR,01_TUMOR,558
DINOv2,89,01_TUMOR,02_STROMA,6
DINOv2,89,01_TUMOR,03_COMPLEX,18
DINOv2,89,01_TUMOR,04_LYMPHO,15
DINOv2,89,01_TUMOR,05_DEBRIS,17
