model,seed,case_id,images,accuracy
FrozenResNet18,57,CRC-Prim-HE-03,740,0.6891891891891891
FrozenResNet18,57,CRC-Prim-HE-04,381,0.7506561679790026
FrozenResNet18,57,CRC-Prim-HE-05,661,0.7987897125567323
FrozenResNet18,57,CRC-Prim-HE-06,1061,0.8152686145146089
FrozenResNet18,57,CRC-Prim-HE-07,503,0.7335984095427436
FrozenResNet18,57,CRC-Prim-HE-08,389,0.4755784061696658
FrozenResNet18,57,CRC-Prim-HE-09,342,0.7105263157894737
FrozenResNet18,57,CRC-Prim-HE-10,238,0.9117647058823529
FrozenResNet18,73,CRC-Prim-HE-01,401,0.8204488778054863
FrozenResNet18,73,CRC-Prim-HE-02,284,0.7992957746478874
FrozenResNet18,73,CRC-Prim-HE-03,740,0.7243243243243244
FrozenResNet18,73,CRC-Prim-HE-04,381,0.7611548556430446
FrozenResNet18,73,CRC-Prim-HE-05,661,0.783661119515885
FrozenResNet18,73,CRC-Prim-HE-06,1061,0.8454288407163054
FrozenResNet18,73,CRC-Prim-HE-07,503,0.7435387673956262
FrozenResNet18,73,CRC-Prim-HE-08,389,0.4755784061696658
FrozenResNet18,73,CRC-Prim-HE-09,342,0.7105263157894737
FrozenResNet18,73,CRC-Prim-HE-10,238,0.8991596638655462
FrozenResNet18,89,CRC-Prim-HE-01,401,0.7655860349127181
FrozenResNet18,89,CRC-Prim-HE-02,284,0.7922535211267606
FrozenResNet18,89,CRC-Prim-HE-03,740,0.6932432432432433
FrozenResNet18,89,CRC-Prim-HE-04,381,0.7821522309711286
FrozenResNet18,89,CRC-Prim-HE-05,661,0.794251134644478
FrozenResNet18,89,CRC-Prim-HE-06,1061,0.8963242224316682
FrozenResNet18,89,CRC-Prim-HE-07,503,0.7276341948310139
FrozenResNet18,89,CRC-Prim-HE-08,389,0.48586118251928023
FrozenResNet18,89,CRC-Prim-HE-09,342,0.7046783625730995
FrozenResNet18,89,CRC-Prim-HE-10,238,0.9117647058823529
FrozenResNet18,101,CRC-Prim-HE-01,401,0.8329177057356608
FrozenResNet18,101,CRC-Prim-HE-02,284,0.7992957746478874
FrozenResNet18,101,CRC-Prim-HE-03,740,0.7040540540540541
FrozenResNet18,101,CRC-Prim-HE-04,381,0.7532808398950132
FrozenResNet18,101,CRC-Prim-HE-05,661,0.783661119515885
FrozenResNet18,101,CRC-Prim-HE-06,1061,0.9104618284637135
FrozenResNet18,101,CRC-Prim-HE-07,503,0.7296222664015904
FrozenResNet18,101,CRC-Prim-HE-08,389,0.45758354755784064
FrozenResNet18,101,CRC-Prim-HE-09,342,0.7251461988304093
FrozenResNet18,101,CRC-Prim-HE-10,238,0.8865546218487395
FrozenResNet18,131,CRC-Prim-HE-01,401,0.8728179551122195
FrozenResNet18,131,CRC-Prim-HE-02,284,0.8274647887323944
FrozenResNet18,131,CRC-Prim-HE-03,740,0.731081081081081
FrozenResNet18,131,CRC-Prim-HE-04,381,0.6771653543307087
FrozenResNet18,131,CRC-Prim-HE-05,661,0.7821482602118003
FrozenResNet18,131,CRC-Prim-HE-06,1061,0.8642789820923656
FrozenResNet18,131,CRC-Prim-HE-07,503,0.7375745526838966
FrozenResNet18,131,CRC-Prim-HE-08,389,0.4318766066838046
FrozenResNet18,131,CRC-Prim-HE-09,342,0.7251461988304093
FrozenResNet18,131,CRC-Prim-HE-10,238,0.9033613445378151
FrozenResNet18,151,CRC-Prim-HE-01,401,0.7456359102244389
FrozenResNet18,151,CRC-Prim-HE-02,284,0.8028169014084507
FrozenResNet18,151,CRC-Prim-HE-03,740,0.7121621621621622
FrozenResNet18,151,CRC-Prim-HE-04,381,0.6614173228346457
FrozenResNet18,151,CRC-Prim-HE-05,661,0.7912254160363086
FrozenResNet18,151,CRC-Prim-HE-06,1061,0.8557964184731386
FrozenResNet18,151,CRC-Prim-HE-07,503,0.7335984095427436
FrozenResNet18,151,CRC-Prim-HE-08,389,0.4370179948586118
