excluded_source_group,retained_source_groups,estimate,cohort_name,analysis_family,target_role,method_family,perturbation,grid_label,metric,model_a,model_b
CRC-Prim-HE-04,9,-0.06382404252409304,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_5_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-05,9,-0.06638135953263101,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_5_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-06,9,-0.06130055737824115,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_5_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-07,9,-0.05637481284086403,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_5_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-08,9,-0.06302837303234145,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_5_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-09,9,-0.06432546727484396,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_5_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-10,9,-0.04486618670226007,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_5_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-01,9,-0.11612776656971188,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_10_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-02,9,-0.11358355331244722,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_10_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-03,9,-0.1049897816294058,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_10_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-04,9,-0.11038349795157579,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_10_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-05,9,-0.11830297753844321,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_10_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-06,9,-0.10261388717601709,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_10_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-07,9,-0.10916170217360756,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_10_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-08,9,-0.11186154346745322,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_10_relative_target_logit_reduction,FrozenResNet18,ResNet18
