cohort_name,analysis_family,model,method,perturbation,grid_label,image_seed_rows,images,seeds,source_groups,spearman_mean,spearman_median,spearman_q1,spearman_q3,positive_spearman_fraction,top_beats_random_fraction,subgroup_type,class_name,case_id,correct,confidence_group
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,gaussian_blur,common_14,68,23,3,9,0.08453323561177861,0.0654447800205595,0.0141036266126911,0.15792380208623863,0.8088235294117647,1.0,class,04_LYMPHO,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,gaussian_blur,common_14,71,25,3,7,-0.004386400962813752,-0.0286590856569101,-0.08167727848656055,0.08840057694299895,0.4647887323943662,0.5492957746478874,class,05_DEBRIS,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,gaussian_blur,common_14,83,28,3,7,0.04277307684257732,0.0421216202216927,-0.0129015292177003,0.12318768975766795,0.6987951807228916,0.8072289156626506,class,06_MUCOSA,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,gaussian_blur,common_14,75,28,3,6,-0.020436183373154726,0.0081855780187904,-0.14662639753285145,0.10552638079831694,0.5066666666666667,0.7066666666666667,class,07_ADIPOSE,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,gaussian_blur,common_14,64,24,3,2,0.053114049554185715,0.03721919849548565,-0.010903945516132024,0.12265620525144924,0.6875,0.734375,class,08_EMPTY,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,local_mean,common_14,71,25,3,10,-0.029826293589818382,0.0023699288383842,-0.14075416968817978,0.07025556024830855,0.5070422535211268,0.6056338028169014,class,01_TUMOR,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,local_mean,common_14,59,21,3,9,0.03814735002164013,0.0334674752368733,-0.06812590464513985,0.1111109340260899,0.6101694915254238,0.6271186440677966,class,02_STROMA,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,local_mean,common_14,36,13,3,7,0.20219218171075737,0.19904692841603644,0.10438006518499628,0.31598905083314077,1.0,0.8888888888888888,class,03_COMPLEX,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,local_mean,common_14,68,23,3,9,0.10351086588732619,0.06841635521838565,0.030868044211046324,0.18138920542836426,0.8529411764705882,0.9558823529411765,class,04_LYMPHO,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,local_mean,common_14,71,25,3,7,0.07048130292108337,0.0242300121923037,-0.0768099195945461,0.18070667548550065,0.5774647887323944,0.36619718309859156,class,05_DEBRIS,,,
