cohort_id,case_id,UNI,DINOv2,difference,cohort_name,analysis_family,target_role,method_family,perturbation,grid_label,metric,model_a,model_b,ResNet18
7985173f57daa8e2,CRC-Prim-HE-10,0.14596386963149643,0.0030496362535348334,0.1429142333779616,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
79beeb51534cb278,CRC-Prim-HE-05,0.4448585404122814,0.48128935603382983,-0.03643081562154843,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
7ae9f8fa547b14cf,CRC-Prim-HE-03,0.861575230599737,0.524732586418637,0.3368426441811,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
7ca80536dfde43c1,CRC-Prim-HE-06,0.2459047508229335,0.958738873878693,-0.7128341230557595,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
7cbabdfbfb2a3c84,CRC-Prim-HE-05,0.32425038036751613,0.09771040499748494,0.22653997537003118,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
7ce759961c8e9f68,CRC-Prim-HE-10,0.06296126781010174,-0.04363001508864956,0.1065912828987513,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
7e936798bcb752be,CRC-Prim-HE-06,0.07955597578128039,0.20275296080081076,-0.12319698501953037,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
7f22a2743f7024e1,CRC-Prim-HE-03,0.315577785272873,0.9367069027995658,-0.6211291175266929,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
7f279e0a733cbbf7,CRC-Prim-HE-03,0.06131651086069437,0.171559051660525,-0.11024254079983065,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
7fbe4f5d5ceb71bf,CRC-Prim-HE-07,1.2009396610939527,0.10612633125263893,1.0948133298413136,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
806387c8005ca838,CRC-Prim-HE-10,0.07201479364022087,0.016904966691613933,0.05510982694860694,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
814b94faf369aee5,CRC-Prim-HE-06,0.23086619750843676,0.15937230360492083,0.07149389390351593,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
815caeca3553b92b,CRC-Prim-HE-10,0.1662393520771228,-0.05695913641081283,0.2231984884879356,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
81900f74ad505918,CRC-Prim-HE-01,0.1092804367594077,0.5443605466251128,-0.4350801098657051,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
84bd2dc0cefd68eb,CRC-Prim-HE-05,0.03514934503792447,0.44924208403297855,-0.41409273899505405,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
84fc31312ad9e8f3,CRC-Prim-HE-06,0.11868883587236984,0.13138061621064126,-0.012691780338271424,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
861d7c478063ac75,CRC-Prim-HE-09,0.19319147477905343,-0.2820797935311317,0.4752712683101852,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
869291ef3438d48f,CRC-Prim-HE-06,0.03307879623066593,-0.0087129725110741,0.04179176874174003,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
870de883a58ffe7c,CRC-Prim-HE-10,0.0795442249945701,0.1714737641063124,-0.0919295391117423,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
8a2464a823867737,CRC-Prim-HE-10,0.15263387906836848,-0.1263002334192638,0.2789341124876323,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
8e4a21d1b45b86e6,CRC-Prim-HE-01,0.12650407254407203,-0.2311076038407138,0.35761167638478586,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
8fc5ae04f95141e4,CRC-Prim-HE-08,0.09535949747262673,0.013638988755411299,0.08172050871721544,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
90b23a2e7ea7c973,CRC-Prim-HE-07,0.29857138998709964,0.40819209667356665,-0.109620706686467,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
935e673920be3e3e,CRC-Prim-HE-10,-0.1860804854110039,-0.013057392866945764,-0.17302309254405812,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
