cohort_name,analysis_family,target_role,model,method,perturbation,grid_label,seed,attribution_occlusion_spearman,normalized_top_minus_random_target_logit_auc,normalized_top_minus_random_target_margin_auc,top_minus_random_relative_target_logit_reduction_auc,top_minus_random_relative_target_margin_reduction_auc,top_minus_random_5_relative_target_logit_reduction,top_minus_random_10_relative_target_logit_reduction,top_minus_random_20_relative_target_logit_reduction,top_minus_random_30_relative_target_logit_reduction,top_minus_random_5_relative_target_margin_reduction,top_minus_random_10_relative_target_margin_reduction,top_minus_random_20_relative_target_margin_reduction,top_minus_random_30_relative_target_margin_reduction
selected_faithfulness,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,normalized_zero,native_16,11,0.09727265200450988,-0.23993173262172438,-0.7839244569983806,0.09664950365640357,0.27498426231188344,0.06529609541926425,0.10823059365959013,0.16321797974987956,0.22757861302247545,-0.01759172324004922,-0.07089183519808792,0.2350740999584204,0.8069916197835221
selected_faithfulness,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,normalized_zero,native_16,89,0.08662937942101145,-0.24855770280189227,-0.749372200388606,0.103429799327108,0.330264100973336,0.07562250786871615,0.11838203305521605,0.18189511309283138,0.24795447543504628,0.20096520045132182,0.36052237978719687,0.6828853812262944,0.8416321890088916
selected_faithfulness,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,normalized_zero,native_16,181,0.07691119243009463,-0.21712798984800277,-1.7638826533789673,0.09271213430932444,0.30712218344546416,0.07107520037604222,0.10786780764844922,0.154966420845373,0.22106308792883658,0.28676213769406994,0.32743486287304885,0.4347574968163467,0.7103921781743492
selected_faithfulness,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,gaussian_blur,common_14,11,0.0163144206717601,0.04700277828732404,1.5833260888799563,-0.004391087363390337,0.03234077908307616,0.020603835048206506,0.031753730531856005,0.019320320194370362,-0.016219766129015968,0.042349789172062,0.33020133903245097,0.43676964128611684,0.2089117595217471
selected_faithfulness,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,gaussian_blur,common_14,89,0.03740768499413511,0.03280582505499929,0.04727870457702871,0.0002160831540136319,0.010509364853814986,0.016584143512255824,0.041021683153790164,0.038313669467330676,0.002661602300536369,0.0528254937779209,0.14201278083259297,0.13524090628449928,0.04550515853661264
selected_faithfulness,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,gaussian_blur,common_14,181,0.03367469220151548,0.027699133065700182,0.6407050430664266,-0.0013159534412106298,0.0004481745498240032,0.03327257060720019,0.04800462344470114,0.03773061529455812,-0.01201531349662124,0.0862848576581973,0.12240427957456186,0.12085275541661768,-0.0040218869728987005
selected_faithfulness,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,local_mean,common_14,11,0.0028875595270647066,0.4161754798690126,0.7334915451264934,-0.03454237564171609,-0.1095290568479462,0.0036714322606027144,-0.01117865912299503,-0.054799870589803436,-0.11070217358386966,0.013192689627826371,0.03323712103352839,-0.1783457691765277,-0.29381476290428415
selected_faithfulness,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,local_mean,common_14,89,0.022250835444223207,0.21971248318102637,1.0284069289263724,-0.022784771751903025,-0.026683633486129166,-0.006986625293234805,-0.005999427503569312,-0.03574492610424391,-0.0660008961742367,-0.041272633611493394,-0.01437588514782919,0.01722152714161932,-0.03129354472957381
selected_faithfulness,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,local_mean,common_14,181,0.03475565198481964,0.1420597892568036,0.5615698937917682,-0.017380475824923136,-0.04099119358624339,0.021677196550770873,0.01745922102684837,-0.011472889460349108,-0.06292544109825773,0.06492642658737158,0.06372195379116526,-0.0018406529619120373,-0.1406517057391172
selected_faithfulness,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,normalized_zero,common_14,11,0.0025430610913506125,1.3215834452236936,3.524010367760972,-0.08983940700347724,-0.1846991750853292,-0.01970592023916044,-0.08102530991490549,-0.17622521735233423,-0.24629096393089253,0.06356235768010356,0.18640947037130412,-0.10803971460633437,-0.7317204813136681
selected_faithfulness,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,normalized_zero,common_14,89,0.03550634833730779,0.7594799616172275,2.121898519315008,-0.10522049469228559,-0.10198609133056435,-0.03149293400468585,-0.09241643812146237,-0.20756362080261775,-0.29016933851420523,-0.051057289553471545,0.0570741454768003,-0.12170980836772358,-0.30733621699198066
selected_faithfulness,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,normalized_zero,common_14,181,0.004581364629969032,0.7597528892638985,0.3974682639737456,-0.09658412017758669,-0.1240448900369056,-0.016017487291504873,-0.08723712376565125,-0.18787908060248415,-0.26652641812866673,-9.374530575458665e-06,-0.07640122729029657,-0.20830134502997913,-0.36699440675254985
selected_faithfulness,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,normalized_zero,common_7,11,0.0345980306151692,0.316136706283949,1.471841914747981,-0.04006464855703842,-0.08015821338378644,0.02016840718362986,-0.0027579171732899717,-0.05926836780938257,-0.12190858594932419,0.18943378502891453,0.17343187368017543,0.1479035453378388,-0.4090290666351302
selected_faithfulness,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,normalized_zero,common_7,89,0.0822781056565119,0.25236840458183085,0.8106493782093179,-0.026489665677847697,-0.013411312668008738,0.014016315394684224,0.013127603803745119,-0.03343845497777998,-0.08283231986976103,-0.007218949502378121,0.1363158274824356,0.08542334571304307,-0.08692686717013665
selected_faithfulness,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,normalized_zero,common_7,181,0.08694670899484876,0.14477464319471905,1.591264243719793,-0.025993408383272895,-0.089974232936632,0.035442247619407334,0.0392463511617268,-0.035658723687264395,-0.09073897175803279,0.07049151891097728,0.09670838268116012,-0.13297548146682522,-0.29705749810316295
selected_faithfulness,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,normalized_zero,native_5,11,0.11795822496803135,0.052658319062795084,1.8694404956822464,-0.00704840858312922,-0.08797789938762852,0.024586555647802193,0.023066282024431936,0.006675593029108026,-0.034830925520498726,-0.14640144658738485,-0.007361775401894952,0.04621623873086071,-0.3500943698135161
selected_faithfulness,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,normalized_zero,native_5,89,0.10586688879169925,0.01701499577371048,0.4964495101779558,0.005544724183140721,0.0280429900573879,0.010454406492489078,0.017414915802962293,0.028653365319763875,0.009899921349925407,-0.021352157940153146,0.011437900398994222,0.1520348263600107,0.06276439003234174
