scope,model,seed,fold,image_count,class_coverage,source_group_count,accuracy,source_macro_accuracy,balanced_accuracy,macro_f1,cross_entropy_loss,test_loss
fold,UNI,57,9,238,7,1,0.9831932773109243,0.9831932773109243,0.9730094466936572,0.855733082706767,0.1051858177818593,0.1051858177818593
aggregate_oof,UNI,73,-1,5000,8,10,0.7972,0.8200195028710592,0.7972,0.7949224554850043,0.5635022850117688,0.5635022850117688
fold,UNI,73,0,401,6,1,0.9625935162094763,0.9625935162094763,0.9557461873638345,0.705758952305005,0.10465587376517703,0.10465587376517703
fold,UNI,73,1,284,6,1,0.8661971830985915,0.8661971830985915,0.8519654088050315,0.5477776241796993,0.32645072815000653,0.32645072815000653
fold,UNI,73,2,740,7,1,0.8027027027027027,0.8027027027027027,0.7963403127268673,0.6944765234157084,0.6453066273198734,0.6453066273198734
fold,UNI,73,3,381,6,1,0.905511811023622,0.905511811023622,0.9062980030721967,0.6399865812198051,0.2744872855850681,0.2744872855850681
fold,UNI,73,4,661,7,1,0.848714069591528,0.848714069591528,0.8484858963446351,0.6743041528109404,0.5012038966440655,0.5012038966440655
fold,UNI,73,5,1061,8,1,0.6786050895381716,0.6786050895381716,0.8979048964218456,0.8212349942885118,0.6116005376506972,0.6116005376506972
fold,UNI,73,6,503,7,1,0.852882703777336,0.852882703777336,0.8310937366411394,0.6859692340379819,0.7158385324652006,0.7158385324652006
fold,UNI,73,7,389,6,1,0.5167095115681234,0.5167095115681234,0.7694834353901712,0.48881194574856546,1.39919343557151,1.39919343557151
fold,UNI,73,8,342,6,1,0.804093567251462,0.804093567251462,0.848910533023686,0.6184290758662742,0.5112642072437624,0.5112642072437624
fold,UNI,73,9,238,7,1,0.9621848739495799,0.9621848739495799,0.9420657871785691,0.8316183467130585,0.17359882178988,0.17359882178988
aggregate_oof,UNI,89,-1,5000,8,10,0.7884,0.8146209411901001,0.7884,0.7852604833587619,0.6054144023408511,0.6054144023408511
fold,UNI,89,0,401,6,1,0.970074812967581,0.970074812967581,0.9645969498910675,0.7164027250229033,0.10265917303634264,0.10265917303634264
fold,UNI,89,1,284,6,1,0.852112676056338,0.852112676056338,0.8474764150943397,0.5474743677375256,0.33154133577609735,0.33154133577609735
fold,UNI,89,2,740,7,1,0.8067567567567567,0.8067567567567567,0.8352617743374047,0.696698115434095,0.6015158693450369,0.6015158693450369
fold,UNI,89,3,381,6,1,0.9081364829396326,0.9081364829396326,0.9076420890937019,0.6366020269045787,0.2590025522603204,0.2590025522603204
fold,UNI,89,4,661,7,1,0.8335854765506808,0.8335854765506808,0.8333150092211661,0.6725591624609981,0.5309012077047965,0.5309012077047965
fold,UNI,89,5,1061,8,1,0.649387370405278,0.649387370405278,0.8814971751412429,0.7908351122571575,0.8163875768159783,0.8163875768159783
fold,UNI,89,6,503,7,1,0.8389662027833003,0.8389662027833003,0.816158332587376,0.6714496573562605,0.6696031157927076,0.6696031157927076
fold,UNI,89,7,389,6,1,0.5167095115681234,0.5167095115681234,0.7636803265818809,0.48768503585464545,1.4833095585026526,1.4833095585026526
fold,UNI,89,8,342,6,1,0.804093567251462,0.804093567251462,0.8342244021610844,0.612777870338846,0.5269524638112133,0.5269524638112133
fold,UNI,89,9,238,7,1,0.9663865546218487,0.9663865546218487,0.9473567924695744,0.8364207853338288,0.15461253281696835,0.15461253281696835
aggregate_oof,UNI,101,-1,5000,8,10,0.7906,0.818965529117736,0.7906,0.7858564280143805,0.5661135481261342,0.5661135481261342
fold,UNI,101,0,401,6,1,0.970074812967581,0.970074812967581,0.965550108932462,0.7174160426040126,0.08546815151888158,0.08546815151888158
fold,UNI,101,1,284,6,1,0.8908450704225352,0.8908450704225352,0.8611320754716981,0.5784292702275449,0.3127758106463153,0.3127758106463153
fold,UNI,101,2,740,7,1,0.8162162162162162,0.8162162162162162,0.8393203019253439,0.693457941360907,0.6088175500951285,0.6088175500951285
fold,UNI,101,3,381,6,1,0.9133858267716536,0.9133858267716536,0.9076420890937021,0.6385328262237896,0.22719228339386197,0.22719228339386197
fold,UNI,101,4,661,7,1,0.8456883509833586,0.8456883509833586,0.847190598351224,0.6797009062225621,0.5071532575745435,0.5071532575745435
fold,UNI,101,5,1061,8,1,0.6352497643732328,0.6352497643732328,0.8886613308223478,0.7995490224872348,0.7117714106047567,0.7117714106047567
fold,UNI,101,6,503,7,1,0.8469184890656064,0.8469184890656064,0.8247912156327359,0.6896796193981581,0.9003254979922738,0.9003254979922738
fold,UNI,101,7,389,6,1,0.5141388174807198,0.5141388174807198,0.7954686764013189,0.5132276308109389,1.02362506131075,1.02362506131075
fold,UNI,101,8,342,6,1,0.7865497076023392,0.7865497076023392,0.8314875754204626,0.6051632992916962,0.5821096607960943,0.5821096607960943
fold,UNI,101,9,238,7,1,0.9705882352941176,0.9705882352941176,0.9521211354827653,0.8413796950498358,0.12532893430214045,0.12532893430214045
aggregate_oof,UNI,131,-1,5000,8,10,0.8358,0.8435079824159345,0.8358,0.8368429364977135,0.5586730055236103,0.5586730055236103
fold,UNI,131,0,401,6,1,0.9625935162094763,0.9625935162094763,0.9528867102396514,0.7040653191732329,0.11132560904550541,0.11132560904550541
fold,UNI,131,1,284,6,1,0.8838028169014085,0.8838028169014085,0.8491823899371069,0.5729911011073755,0.2666840966706014,0.2666840966706014
fold,UNI,131,2,740,7,1,0.8094594594594594,0.8094594594594594,0.799351341368148,0.6931480664494707,0.6236993579754095,0.6236993579754095
